date,bullish,neutral,bearish
2014-11-13,0.57931,0.227586,0.193103
2014-11-20,0.491176,0.270588,0.238235
2014-11-27,0.521452,0.270627,0.207921
2014-12-04,0.426778,0.313808,0.259414
2014-12-11,0.450172,0.32646,0.223368
2014-12-18,0.387352,0.343874,0.268775
2014-12-25,0.509434,0.301887,0.188679
2015-01-01,0.517375,0.289575,0.19305
2015-01-08,0.410072,0.31295,0.276978
2015-01-15,0.461059,0.323988,0.214953
2015-01-22,0.371429,0.320635,0.307937
2015-01-29,0.441718,0.334356,0.223926
2015-02-05,0.354949,0.320819,0.324232
2015-02-12,0.4,0.396721,0.203279
2015-02-19,0.470199,0.350993,0.178808
2015-02-26,0.453731,0.343284,0.202985
2015-03-05,0.398026,0.368421,0.233553
2015-03-12,0.315961,0.429967,0.254072
2015-03-19,0.271605,0.41358,0.314815
2015-03-26,0.384298,0.371901,0.243802
2015-04-02,0.353952,0.32646,0.319588
2015-04-09,0.287016,0.471526,0.241458
2015-04-16,0.320675,0.451477,0.227848
2015-04-23,0.3147,0.453416,0.231884
2015-04-30,0.308362,0.472125,0.219512
2015-05-07,0.270563,0.461039,0.268398
2015-05-14,0.267442,0.468992,0.263566
2015-05-21,0.252119,0.497881,0.25
2015-05-28,0.270019,0.478585,0.251397
2015-06-04,0.273399,0.480296,0.246305
2015-06-11,0.200375,0.473783,0.325843
2015-06-18,0.254083,0.402904,0.343013
2015-06-25,0.355556,0.427778,0.216667
2015-07-02,0.226121,0.423002,0.350877
2015-07-09,0.27907,0.429175,0.291755
2015-07-16,0.308108,0.459459,0.232432
2015-07-23,0.3254,0.4187,0.256
2015-07-30,0.211055,0.38191,0.407035
2015-08-06,0.243187,0.440252,0.316562
2015-08-13,0.304519,0.333988,0.361493
2015-08-20,0.268199,0.398467,0.333333
2015-08-27,0.325,0.292308,0.382692
2015-09-03,0.323843,0.359431,0.316726
2015-09-10,0.346499,0.303411,0.35009
2015-09-17,0.332645,0.376033,0.291322
2015-09-24,0.321199,0.391863,0.286938
2015-10-01,0.281059,0.319756,0.399185
2015-10-08,0.375238,0.342857,0.281905
2015-10-15,0.340816,0.387755,0.271429
2015-10-22,0.347656,0.412109,0.240234
2015-10-29,0.403922,0.390196,0.205882
2015-11-05,0.39,0.424,0.186
2015-11-12,0.342723,0.42723,0.230047
2015-11-19,0.307692,0.386813,0.305495
2015-11-26,0.323601,0.416058,0.260341
2015-12-03,0.294931,0.493088,0.211982
2015-12-10,0.285057,0.416092,0.298851
2015-12-17,0.238663,0.367542,0.393795
2015-12-24,0.263804,0.421268,0.314928
2015-12-31,0.250729,0.51312,0.236152
2016-01-07,0.221739,0.395652,0.382609
2016-01-14,0.178988,0.365759,0.455253
2016-01-21,0.21521,0.297735,0.487055
2016-01-28,0.297535,0.302817,0.399648
2016-02-04,0.275472,0.377358,0.34717
2016-02-11,0.192385,0.320641,0.486974
2016-02-18,0.275605,0.346369,0.378026
2016-02-25,0.311947,0.373894,0.314159
2016-03-03,0.320158,0.387352,0.29249
2016-03-10,0.373576,0.382688,0.243736
2016-03-17,0.299587,0.431818,0.268595
2016-03-24,0.337808,0.425056,0.237136
2016-03-31,0.271805,0.470588,0.257606
2016-04-07,0.321918,0.46347,0.214612
2016-04-14,0.278481,0.472574,0.248945
2016-04-21,0.334052,0.426724,0.239224
2016-04-28,0.273663,0.440329,0.286008
2016-05-05,0.223301,0.473301,0.303398
2016-05-12,0.204082,0.482993,0.312925
2016-05-19,0.193384,0.465649,0.340967
2016-05-26,0.177515,0.5286,0.293886
2016-06-02,0.301676,0.407821,0.290503
2016-06-09,0.278317,0.443366,0.278317
2016-06-16,0.253472,0.371528,0.375
2016-06-23,0.219697,0.42803,0.352273
2016-06-30,0.289125,0.376658,0.334218
2016-07-07,0.310573,0.422907,0.26652
2016-07-14,0.368664,0.387097,0.24424
2016-07-21,0.354251,0.378543,0.267206
2016-07-28,0.3125,0.403409,0.284091
2016-08-04,0.297872,0.434397,0.26773
2016-08-11,0.312925,0.419501,0.267574
2016-08-18,0.355649,0.380753,0.263598
2016-08-25,0.294243,0.409382,0.296375
2016-09-01,0.286,0.3987,0.3152
2016-09-08,0.297468,0.417722,0.28481
2016-09-15,0.279379,0.361419,0.359202
2016-09-22,0.24826,0.36891,0.382831
2016-09-29,0.24,0.388889,0.371111
2016-10-06,0.287946,0.433036,0.279018
2016-10-13,0.254717,0.408019,0.337264
2016-10-20,0.237395,0.384454,0.378151
2016-10-27,0.247549,0.411765,0.340686
2016-11-03,0.236364,0.420455,0.343182
2016-11-10,0.388889,0.317778,0.293333
2016-11-17,0.466531,0.267748,0.26572
2016-11-24,0.498938,0.280255,0.220807
2016-12-01,0.437751,0.311245,0.251004
2016-12-08,0.431211,0.303901,0.264887
2016-12-15,0.446575,0.230137,0.323288
2016-12-22,0.446064,0.262391,0.291545
2016-12-29,0.455696,0.28692,0.257384
2017-01-05,0.46200600000000003,0.285714,0.25228
2017-01-12,0.436364,0.293939,0.269697
2017-01-19,0.370079,0.30315,0.326772
2017-01-26,0.315789,0.349282,0.334928
2017-02-02,0.327982,0.330275,0.341743
2017-02-09,0.358025,0.365432,0.276543
2017-02-16,0.330909,0.345455,0.323636
2017-02-23,0.384615,0.292308,0.323077
2017-03-02,0.379085,0.264706,0.356209
2017-03-09,0.3,0.235,0.465
2017-03-16,0.311688,0.301299,0.387013
2017-03-23,0.352785,0.342175,0.30504
2017-03-30,0.302181,0.323988,0.373832
2017-04-06,0.283019,0.320755,0.396226
2017-04-13,0.28972,0.336449,0.373832
2017-04-20,0.257062,0.355932,0.387006
2017-04-27,0.380488,0.302439,0.317073
2017-05-04,0.380711,0.319797,0.299492
2017-05-11,0.327338,0.370504,0.302158
2017-05-18,0.238532,0.41896,0.342508
2017-05-25,0.328571,0.371429,0.3
2017-06-01,0.269231,0.415385,0.315385
2017-06-08,0.354331,0.350394,0.295276
2017-06-15,0.322709,0.38247,0.294821
2017-06-22,0.326531,0.384354,0.289116
2017-06-29,0.297143,0.434286,0.268571
2017-07-06,0.295775,0.405634,0.298592
2017-07-13,0.282407,0.421296,0.296296
2017-07-20,0.354839,0.387097,0.258065
2017-07-27,0.344595,0.412162,0.243243
2017-08-03,0.361111,0.317901,0.320988
