Variable,Dimensión,Media,Mediana,Std,Min,Max,Skewness,Kurtosis
TIP_mom_12w,ETF,0.007982032367683807,0.0099545647046686,0.02619122185007767,-0.1236759406904177,0.0767363695659588,-1.0072969228019708,3.1417273035294153
TIP_drawdown,ETF,-0.03545141056520912,-0.0223182212132816,0.035484907388698875,-0.1422085013607706,0.0,-0.9470122119210521,-0.13369385789442756
VNQ_log_ret,ETF,0.0009589018545233605,0.0026732208460493,0.03650101137320921,-0.2865082560758032,0.2105215894836695,-0.5696147902312787,10.530333368236498
VNQ_vol_4w,ETF,0.027683661459805036,0.0211646928513339,0.024563031122178777,0.0010709687362146,0.2272674783668404,3.682922442374446,18.95010712624951
VNQ_vol_12w,ETF,0.029792011987587734,0.0234692993992077,0.0217814830129819,0.0066489612369525,0.1426241984138485,2.8550775136172697,9.438222139133757
VNQ_mom_4w,ETF,0.0038217002262450578,0.0102036748057104,0.06983514318235776,-0.5550177399898065,0.3510415522300431,-1.4277595852065665,12.292062231884248
VNQ_mom_12w,ETF,0.010923097362063561,0.0233456034965548,0.11078503688562835,-0.8511164007051358,0.4510187355061676,-1.9017765964891622,10.439117050388393
VNQ_drawdown,ETF,-0.1456531568654627,-0.1072952724137135,0.14054353605925174,-0.7254005806811815,0.0,-1.5852591834464858,2.6964024917490823
spread_10y_2y,Macro,1.063566362715299,1.03,0.9534802518524752,-1.06,2.91,0.03376257840969686,-0.8859585907088734
cpi_change,Macro,0.00047039968568912894,0.0,0.001418287362307369,-0.0036368271869705,0.0145837901045091,4.150603210301747,23.507327278778966
unrate_change,Macro,-0.0001013171225937191,0.0,0.38718046416879454,-2.3999999999999995,11.2,24.105225029202824,714.5542143428779
umcsent_change,Macro,-0.03242147922998988,0.0,2.1144203317733377,-28.0,9.5,-3.7380456324104516,46.58860582036133
vix_level,Riesgo,19.702350557244177,17.24,8.80247911019982,9.14,79.13,2.492682860616494,9.25815050400206
vix_change,Riesgo,0.006220871327254303,-0.1799999999999997,3.595143106926339,-19.239999999999995,24.81,0.8653279509311801,9.403433505918603
